smdg_path,txt_path,smdg_short,txt_short,smdg_label,txt_label,forward_pair_id,reverse_pair_id,smdg_sentence_count,txt_sentence_count,matrix_score_count,f_max,r_max,max_min,max_delta_abs,f_p95,r_p95,p95_min,p95_delta_abs,f_smdg_to_txt,r_smdg_to_txt,smdg_to_txt_min,smdg_to_txt_delta_abs,f_txt_to_smdg,r_txt_to_smdg,txt_to_smdg_min,txt_to_smdg_delta_abs,local_spike_survival,broad_affinity_survival,smdg_to_txt_survival,txt_to_smdg_survival,direction_balance,overall_survival,overall_rank,signal_label,reading_reason
09c-SMDG-rgyun-thag-grel-147-160.txt,LL03_L16_bde-ba-phra-bkod_V8-p.495-498.txt,09c-SMDG-rgyun-thag-grel-147-160,LL03_L16_bde-ba-phra-bkod_V8-p.495-498,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL03 | L16 bde ba phra bkod V8 p.495 498,A011__B012,A012__B011,356,80,28480,0.719009,0.694392,0.694392,0.024618,0.457584,0.457919,0.457584,0.000335,0.503862,0.512396,0.503862,0.008534,0.557459,0.557405,0.557405,5.3e-05,0.730114,0.994318,0.775568,0.980114,0.795454,0.896449,1,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09c-SMDG-rgyun-thag-grel-147-160.txt,LL02_་nam-mkha_-rgyal-po_vol8-v475-480.txt,09c-SMDG-rgyun-thag-grel-147-160,LL02_་nam-mkha_-rgyal-po_vol8-v475-480,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL02 | nam mkha rgyal po vol8 v475 480,A011__B011,A011__B011,356,113,40228,0.713039,0.675292,0.675292,0.037748,0.447117,0.447777,0.447117,0.000659,0.504839,0.507455,0.504839,0.002616,0.538867,0.537313,0.537313,0.001553,0.553977,0.928977,0.747159,0.897727,0.849432,0.81946,2,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
11-SMDG-sems-lung-rgyun-thag-_grel.txt,LL02_་nam-mkha_-rgyal-po_vol8-v475-480.txt,11-SMDG-sems-lung-rgyun-thag-_grel,LL02_་nam-mkha_-rgyal-po_vol8-v475-480,SMDG 11 | sems lung rgyun thag grel,Txt-18 LL02 | nam mkha rgyal po vol8 v475 480,A013__B011,A011__B013,122,113,13786,0.68058,0.694419,0.68058,0.013839,0.457129,0.455663,0.455663,0.001466,0.512906,0.51568,0.512906,0.002774,0.514196,0.512206,0.512206,0.00199,0.6875,0.982955,0.8125,0.664773,0.852273,0.816477,3,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09c-SMDG-rgyun-thag-grel-147-160.txt,LL06_L15_bde-ba-rab-_byams_vol8-p.473-475-not-sure.txt,09c-SMDG-rgyun-thag-grel-147-160,LL06_L15_bde-ba-rab-_byams_vol8-p.473-475-not-sure,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL06 | L15 bde ba rab byams vol8 p.473 475 not sure,A011__B015,A015__B011,356,49,17444,0.700107,0.716354,0.700107,0.016247,0.446662,0.454293,0.446662,0.007631,0.473336,0.485822,0.473336,0.012486,0.539886,0.545451,0.539886,0.005565,0.829545,0.943182,0.46875,0.917614,0.551136,0.801136,4,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
11-SMDG-sems-lung-rgyun-thag-_grel.txt,LL03_L16_bde-ba-phra-bkod_V8-p.495-498.txt,11-SMDG-sems-lung-rgyun-thag-_grel,LL03_L16_bde-ba-phra-bkod_V8-p.495-498,SMDG 11 | sems lung rgyun thag grel,Txt-18 LL03 | L16 bde ba phra bkod V8 p.495 498,A013__B012,A012__B013,122,80,9760,0.673423,0.667289,0.667289,0.006134,0.457322,0.457005,0.457005,0.000317,0.502177,0.508783,0.502177,0.006607,0.522992,0.522016,0.522016,0.000976,0.494318,0.985795,0.752841,0.761364,0.991477,0.797727,5,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
12-SMDG-lhug-par-bzhag-pa.txt,LL03_L16_bde-ba-phra-bkod_V8-p.495-498.txt,12-SMDG-lhug-par-bzhag-pa,LL03_L16_bde-ba-phra-bkod_V8-p.495-498,SMDG 12 | lhug par bzhag pa,Txt-18 LL03 | L16 bde ba phra bkod V8 p.495 498,A014__B012,A012__B014,192,80,15360,0.682371,0.724389,0.682371,0.042018,0.44625,0.455098,0.44625,0.008848,0.490348,0.506361,0.490348,0.016013,0.52339,0.539536,0.52339,0.016146,0.710227,0.940341,0.650568,0.767045,0.883523,0.790057,6,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
08-SMDG-cog-bzhag-grel.txt,LL03_L16_bde-ba-phra-bkod_V8-p.495-498.txt,08-SMDG-cog-bzhag-grel,LL03_L16_bde-ba-phra-bkod_V8-p.495-498,SMDG 08 | cog bzhag grel,Txt-18 LL03 | L16 bde ba phra bkod V8 p.495 498,A008__B012,A012__B008,314,80,25120,0.818169,0.837624,0.818169,0.019455,0.436313,0.439584,0.436313,0.003272,0.469937,0.478122,0.469937,0.008185,0.54564,0.541698,0.541698,0.003941,0.991477,0.849432,0.431818,0.914773,0.517045,0.78267,7,Local sentence spike,"A very high best sentence pair survives both directions; inspect for quotation, formula, or shared stock phrase."
09b-SMDG-rgyun-thag-gzhung-145-147.txt,LL04_byang-chub-sems-tig.-Liljenberg-p273.txt,09b-SMDG-rgyun-thag-gzhung-145-147,LL04_byang-chub-sems-tig.-Liljenberg-p273,SMDG 09b | rgyun thag gzhung 145 147,Txt-18 LL04 | byang chub sems tig. Liljenberg p273,A010__B013,A013__B010,68,19,1292,0.744421,0.762438,0.744421,0.018018,0.45336,0.451431,0.451431,0.001929,0.468754,0.471446,0.468754,0.002692,0.526276,0.525322,0.525322,0.000954,0.954545,0.954545,0.417614,0.778409,0.639205,0.776278,8,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
09c-SMDG-rgyun-thag-grel-147-160.txt,LL07_L10_srog-gi-_khor-lo_v8.p491-494.txt,09c-SMDG-rgyun-thag-grel-147-160,LL07_L10_srog-gi-_khor-lo_v8.p491-494,SMDG 09c | rgyun thag grel 147 160,Txt-18 LL07 | L10 srog gi khor lo v8.p491 494,A011__B016,A016__B011,356,71,25276,0.718786,0.686275,0.686275,0.032511,0.440798,0.447423,0.440798,0.006625,0.479992,0.492887,0.479992,0.012895,0.533267,0.53615,0.533267,0.002883,0.681818,0.909091,0.548295,0.875,0.673295,0.776278,9,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
10-SMDG-sems-lung-rgyun-thag.txt,LL02_་nam-mkha_-rgyal-po_vol8-v475-480.txt,10-SMDG-sems-lung-rgyun-thag,LL02_་nam-mkha_-rgyal-po_vol8-v475-480,SMDG 10 | sems lung rgyun thag,Txt-18 LL02 | nam mkha rgyal po vol8 v475 480,A012__B011,A011__B012,38,113,4294,0.684763,0.694101,0.684763,0.009338,0.453346,0.452094,0.452094,0.001252,0.517589,0.524861,0.517589,0.007272,0.48283,0.483873,0.48283,0.001042,0.721591,0.957386,0.849432,0.440341,0.590909,0.765767,10,Broad bidirectional affinity,"The upper tail of the full matrix survives both model directions, suggesting repeated related passages rather than one isolated match."
